ID,facilitycode,district,dcode,name,lab,ftype,managedby,resultdeliverymode,deliverymode,smsprinter,resultsdeliverysponsor,contactperson,contacttelephone,contactperson2,contacttelephone2,smsprinterserialno,smsprinterversion,smsinstalldate,smsprinterno,PUK,PIN,simcardno,network,telephone,fax,email,PostalAddress,physicaladdress,ContactEmail,Flag,telephone2
"0507","0507","17","Mzimba","Embangweni Hospital","3","Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0508","0508","17","Mzimba","Endindeni Health Center","3","Health Center","MOH/CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0509","0509","17","Mzimba","Hoho Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0510","0510","17","Mzimba","Jenda Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0511","0511","17","Mzimba","Bulala Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0512","0512","17","Mzimba","Kalikumbi Health Center","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0513","0513","17","Mzimba","Kamteteka Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0514","0514","17","Mzimba","Katete Hospital Hospital","3","Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0515","0515","17","Mzimba","Khosolo Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0516","0516","17","Mzimba","Lunjika Health Center","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0517","0517","17","Mzimba","Luwawa Health Centre","3","Health Center","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0518","0518","17","Mzimba","Luwerezi Health Center","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0519","0519","17","Mzimba","Mabili Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0520","0520","17","Mzimba","Madede Health Center","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0521","0521","17","Mzimba","Manyamula Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0522","0522","17","Mzimba","Mbalachanda Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0523","0523","17","Mzimba","Mhalaunda Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
